,GATA3,IL13,IFNg,IL4,IL10,PD1,Perforin,TNF,Ki67
20811_BCG_019.fcs,722,1573,4965,1594,312,677,2099,3769,
"20811_E,2f,C_020.fcs",690,1615,2639,1699,n/a,684,1506,3132,
20811_HIV_021.fcs,705,1741,3816,1579,316,689,1523,2650,
20811_Nil_018.fcs,722,1994,2219,1788,335,679,1633,2928,
20811_SEB_023.fcs,712,1188,3483,1342,437,702,1523,2524,
29270_BCG_034.fcs,692,1555,2865,2210,326,649,3400,2877,
"29270_E,2f,C_035.fcs",718,1667,1028,2609,360,689,4308,2350,
29270_Nil_033.fcs,705,1680,1110,2262,310,660,3878,2337,
29270_SEB_036.fcs,732,1718,1683,1946,396,715,3590,3016,
110611_BCG_029.fcs,733,1297,3227,1870,658,666,1421,3816,
"110611_E,2f,C_030.fcs",738,1300,3052,1899,725,658,1183,3077,
110611_HIV_031.fcs,747,1735,3575,1994,n/a,666,1464,3554,
110611_Nil_028.fcs,735,1132,1161,1842,427,665,1168,3052,
110611_SEB_032.fcs,738,800,1712,1227,448,682,1204,2405,
110710_BCG_025.fcs,697,1440,2981,1358,344,628,1244,3332,
"110710_E,2f,C_026.fcs",682,1541,3511,1413,365,622,1016,3372,
110710_Nil_024.fcs,699,1863,1731,1389,n/a,616,1161,2505,
110710_SEB_027.fcs,720,893,2524,1244,453,631,1280,2946,
112010_BCG_020.fcs,466,1881,6747,1655,910,644,1594,4585,
"112010_E,2f,C_019.fcs",455,1287,26010,1677,n/a,662,1177,5462,
112010_Nil_018.fcs,473,1511,860,1811,1209,691,1285,3120,
112010_SEB_021.fcs,488,744,7629,1413,529,677,1232,3359,
112611_BCG_024.fcs,816,2703,4343,1547,n/a,629,1397,2871,
"112611_E,2f,C_023.fcs",550,3243,23650,1633,n/a,691,1280,2691,
112611_HIV_025.fcs,841,2194,417,1588,n/a,646,1206,3761,
112611_Nil_022.fcs,657,1380,537,1448,n/a,657,1132,n/a,
112611_SEB_026.fcs,775,878,11429,984,n/a,678,1670,3462,
211310_BCG FMT_034.fcs,n/a,2215,3352,2249,497,687,2529,3894,
211310_BCG_033.fcs,536,2022,5029,2244,380,698,2193,3612,
"211310_E,2f,C_032.fcs",485,1546,633,2447,433,700,2500,3151,
211310_Nil_031.fcs,483,1834,1020,2033,421,707,2382,3259,
211310_SEB_035.fcs,497,1838,4490,1839,488,736,1953,2697,
212520_BCG_029.fcs,540,1703,5191,1913,n/a,712,1114,3312,
"212520_E,2f,C_028.fcs",489,2684,1573,2056,385,763,1141,3420,
212520_Nil_027.fcs,492,2534,614,2128,344,724,1099,2236,
212520_SEB_030.fcs,489,1868,3731,1856,448,761,1453,3366,
2X531_BCG_033.fcs,606,671,2332,265,133,374,1235,849,
"2X531_E,2f,C_032.fcs",549,507,2452,261,174,377,1091,816,
2X531_HIV_034.fcs,563,1774,2442,252,148,370,1084,943,
2X531_Nil_031.fcs,568,447,2490,433,473,374,1057,828,
2X531_SEB_036.fcs,557,2052,1839,305,198,388,1317,1582,
14611_BCG_024.fcs,502,2771,2544,279,186,410,2563,4150,
"14611_E,2f,C_023.fcs",484,3441,2438,190,246,399,1558,1521,
14611_HIV_025.fcs,491,1606,2534,182,127,402,1748,2136,
14611_Nil_022.fcs,492,577,2660,238,140,410,2198,994,
14611_SEB_026.fcs,483,1579,2087,293,191,465,1846,1725,
111610_BCG_020.fcs,508,1957,2164,242,200,371,4091,3176,
"111610_E,2f,C_019.fcs",466,1913,2119,229,134,370,2826,1987,
111610_Nil_018.fcs,472,457,2283,195,322,369,2614,978,
111610_SEB_021.fcs,488,1330,1777,273,175,384,2843,1576,
239230_BCG_029.fcs,543,3641,2206,291,205,387,1237,1705,
"239230_E,2f,C_028.fcs",503,4049,2236,274,156,378,840,892,
239230_Nil_027.fcs,535,1051,2236,250,242,384,1095,1263,
239230_SEB_030.fcs,523,1846,1924,317,179,394,1170,1597,
25010_BCG_030.fcs,444,1262,9197,1822,288,564,3539,4604,
"25010_E,2f,C_031.fcs",442,2139,745,1946,276,545,3476,2509,
25010_Nil_029.fcs,475,1636,613,2424,234,544,3975,2099,
25010_SEB run on lo_033.fcs,507,760,4500,1884,253,595,3959,2987,
25010_SEB run on medium_032.fcs,469,616,4380,1910,251,559,3847,3101,
28631_BCG_019.fcs,508,1479,1693,1877,312,536,5604,2578,
"28631_E,2f,C_020.fcs",482,1565,540,2040,287,527,5640,2341,
28631_HIV_021.fcs,487,n/a,3339,1856,235,534,5439,2123,
28631_Nil_018.fcs,503,1977,689,1801,282,535,4862,2219,
28631_SEB_022.fcs,484,965,2707,1478,246,564,4272,3413,
110810_BCG_024.fcs,432,672,13053,1561,288,522,2650,8524,
"110810_E,2f,C_025.fcs",436,699,17531,1804,268,518,2905,4604,
110810_FMO run on low_028.fcs,441,1250,5497,1285,273,534,2877,4692,
110810_FMO_027.fcs,n/a,657,4821,1503,276,n/a,2951,4672,
110810_Nil_023.fcs,457,2069,11800,1874,276,521,2755,2957,
110810_SEB_026.fcs,494,666,6067,1405,256,522,2614,3831,
2044x_BCG_032.fcs,912,893,10530,4380,1018,661,1026,5268,
"2044x_E,2f,C_033.fcs",878,739,831,4751,401,649,1008,3083,
2044x_Nil_031.fcs,949,811,937,5302,515,669,946,2917,
2044x_SEB_034.fcs,941,950,4193,4159,570,676,893,3319,
22620_BCG_024.fcs,735,801,901,5257,584,650,1225,2681,
"22620_E,2f,C_025.fcs",728,907,1448,5279,1036,816,1010,3064,
22620_Nil_023.fcs,707,775,1006,5029,380,740,658,2992,
22620_SEB_026.fcs,700,890,3366,5628,615,869,1132,2934,
29630_BCG_028.fcs,871,709,5213,4518,452,649,2080,3476,
"29630_E,2f,C_029.fcs",857,667,8226,4924,546,658,1906,2750,
